Date,Open,High,Low,Close,Adj Close,Volume
2022-06-15,76.000000,81.000000,73.000000,77.000000,77.000000,3893700
2022-06-16,73.000000,80.000000,73.000000,79.000000,79.000000,191800
2022-06-17,74.000000,79.000000,74.000000,76.000000,76.000000,666700
2022-06-20,76.000000,76.000000,73.000000,75.000000,75.000000,1811600
2022-06-21,75.000000,75.000000,73.000000,74.000000,74.000000,193800
2022-06-22,75.000000,75.000000,73.000000,74.000000,74.000000,848300
2022-06-23,74.000000,75.000000,73.000000,74.000000,74.000000,1366800
2022-06-24,70.000000,79.000000,70.000000,75.000000,75.000000,7628100
2022-06-27,75.000000,85.000000,71.000000,73.000000,73.000000,32583900
2022-06-28,69.000000,75.000000,68.000000,71.000000,71.000000,5126600
2022-06-29,70.000000,72.000000,68.000000,68.000000,68.000000,3196600
2022-06-30,67.000000,68.000000,64.000000,64.000000,64.000000,5101300
2022-07-01,60.000000,64.000000,60.000000,60.000000,60.000000,1825400
2022-07-04,58.000000,58.000000,56.000000,56.000000,56.000000,1244400
2022-07-05,53.000000,56.000000,53.000000,53.000000,53.000000,5653300
2022-07-06,53.000000,59.000000,51.000000,53.000000,53.000000,6824200
2022-07-07,52.000000,67.000000,51.000000,66.000000,66.000000,28515800
2022-07-08,67.000000,73.000000,62.000000,68.000000,68.000000,17358200
2022-07-11,64.000000,70.000000,64.000000,65.000000,65.000000,1485900
2022-07-12,65.000000,71.000000,64.000000,67.000000,67.000000,3365100
2022-07-13,67.000000,67.000000,65.000000,65.000000,65.000000,602400
2022-07-14,65.000000,77.000000,63.000000,66.000000,66.000000,26807500
2022-07-15,66.000000,68.000000,64.000000,65.000000,65.000000,4153400
2022-07-18,62.000000,69.000000,62.000000,66.000000,66.000000,6382200
2022-07-19,62.000000,72.000000,62.000000,67.000000,67.000000,14565800
2022-07-20,64.000000,74.000000,64.000000,71.000000,71.000000,12403200
2022-07-21,72.000000,79.000000,72.000000,74.000000,74.000000,12842700
2022-07-22,74.000000,79.000000,72.000000,77.000000,77.000000,5884300
2022-07-25,77.000000,82.000000,74.000000,80.000000,80.000000,4881400
